EUN,Alias,Zone,SubZone,SystemTypeCode
13030050,0M02,01,0,M
13020038,0M03,01,0,M
13020068,0M04,01,0,M
12090008,4WP03,01,4,WP
13020058,0M05,01,0,M
13020055,0M06,01,0,M
13020065,0M07,01,0,M
13020049,0M08,01,0,M
13020062,0M09,01,0,M
13020066,0M10,01,0,M
15080188,0M11,01,0,M
15080212,0M12,01,0,M
13120177,0M13,01,0,M
13120178,0M14,01,0,M
15040056,0M16,01,0,M
19100257,0M18,01,0,M
13030024,0M19,01,0,M
13030027,0M20,01,0,M
13030026,0M21,01,0,M
13030025,0M22,01,0,M
21060001,0M23,01,0,M
21060007,0M24,01,0,M
20020249,0M25,01,0,M
12090030,4P01,01,4,P
12090032,1P01,01,1,P
12090046,4L05,01,4,L
12090062,1L02,01,1,L
12090081,0L03,01,0,L
12090085,0L01,01,0,L
21040140,0M27,01,0,M
12100004,1IS01,01,1,IS
12100005,4IS02,01,4,IS
21030100,0M28,01,0,M
21060000,0M29,01,0,M
13120193,0M30,01,0,M
15070120,0M31,01,0,M
13100215,0M33,01,0,M
13030048,0M34,01,0,M
13030036,0M35,01,0,M
13030033,0M36,01,0,M
13030037,0M37,01,0,M
13030049,0M43,01,0,M
13010001,1L01,01,1,L
13020005,1C02,01,1,CR
15080214,0M44,01,0,M
15080215,0M46,01,0,M
15080216,0M47,01,0,M
15100067,0M49,01,0,M
15060251,0M51,01,0,M
13030040,0M52,01,0,M
15060254,0M53,01,0,M
14030021,0M54,01,0,M
14050118,0M55,01,0,M
12120105,1M03,01,1,M
12090021,1M12,01,1,M
12090023,1M13,01,1,M
14110157,1M23,01,1,M
13030066,1M25,01,1,M
14080014,1M50,01,1,M
12120101,1M53,01,1,M
12120109,1M54,01,1,M
12120110,1M55,01,1,M
12090014,1M56,01,1,M
12120108,1M57,01,1,M
12120107,1M58,01,1,M
14030203,1M59,01,1,M
19090310,1M61,01,1,M
14050122,1M65,01,1,M
15040043,1M66,01,1,M
21030106,1M67,01,1,M
22010096,1M68,01,1,M
21040131,1M69,01,1,M
21030108,1M70,01,1,M
15120503,2M01,01,2,M
15120504,2M02,01,2,M
15120505,2M03,01,2,M
15120506,2M06,01,2,M
15120507,2M07,01,2,M
15080015,2M08,01,2,M
17010015,2M09,01,2,M
15120513,2M10,01,2,M
17010003,2M12,01,2,M
17010004,2M13,01,2,M
15070142,2M17,01,2,M
14050143,2M18,01,2,M
13030045,2M24,01,2,M
13100229,2M25,01,2,M
15060263,2M26,01,2,M
15120395,2M27,01,2,M
15120402,2M28,01,2,M
13020037,2M33,01,2,M
13020036,2M34,01,2,M
15040040,2M35,01,2,M
15040038,2M36,01,2,M
21010299,32M01,05,,M
20110786,32M02,05,,M
20110785,32M03,05,,M
20110780,32M04,05,,M
21010297,33M01,05,,M
18090335,33M02,05,,M
18090342,33M03,05,,M
18090336,33M04,05,,M
18090338,33M05,05,,M
18090358,33M06,05,,M
18090347,33M07,05,,M
18090337,34M01,05,,M
18090340,34M02,05,,M
20010223,34M03,05,,M
20010222,34M04,05,,M
20010225,34M05,05,,M
13040025,1TP02,01,1,P
13040027,4P03,01,4,P
13050002,6G02,01,6,G
13050003,7G02,01,7,G
13050011,0P03,01,0,P
13050013,1IS02,01,1,IS
13050014,0IS01,01,0,IS
13060011,4P02,01,4,P
13060012,4P04,01,4,P
13060013,1TP03,01,1,P
19110803,34M06,05,,M
13070034,0TP02,01,0,P
19110804,34M07,05,,M
19110806,34M08,05,,M
13100234,0PR01,01,0,PR
13110007,1C01,01,1,CR
13110074,1WP06,01,1,WP
13110075,4WP01,01,4,WP
13110078,4WP05,01,4,WP
13110079,4WP02,01,4,WP
13110080,4WP04,01,4,WP
19110809,34M09,05,,M
20010224,34M10,05,,M
18090355,34M11,05,,M
13120185,0L02,01,0,L
18090369,34M12,05,,M
18090349,34M13,05,,M
19110810,34M14,05,,M
20110782,35M01,05,,M
21010296,35M02,05,,M
20110784,35M03,05,,M
20110783,35M04,05,,M
19080016,35M05,05,,M
20110781,35M06,05,,M
18100890,3M01,01,3,M
20120029,3M02,01,3,M
20120024,3M03,01,3,M
17010009,3M04,01,3,M
20110196,3M05,01,3,M
17010001,3M06,01,3,M
21090136,3M07,01,3,M
15080047,3M08,01,3,M
18100891,3M09,01,3,M
18100889,3M10,01,3,M
15080046,3M11,01,3,M
17121230,3M12,01,3,M
18060579,3M13,01,3,M
17121231,3M14,01,3,M
14060095,1G01,01,1,G
14060097,1G02,01,1,G
14060099,5G02,01,5,G
14060100,5G01,01,5,G
19040563,3M15,01,3,M
16060249,3M16,01,3,M
16060250,3M17,01,3,M
14070032,4TD01,01,4,TDH
14070033,4TD02,01,4,TDH
14030003,4M03,01,4,M
14030001,4M04,01,4,M
14030004,4M05,01,4,M
20100123,4M10,01,4,M
20100124,4M12,01,4,M
19080404,4M13,01,4,M
14070209,5C01,01,5,CR
14110161,4M22,01,4,M
15110069,4M23,01,4,M
15120394,4M24,01,4,M
20060445,4M26,01,4,M
14080015,4M27,01,4,M
13120160,4M28,01,4,M
14080016,4M29,01,4,M
14080012,4M30,01,4,M
14080052,4L07,01,4,L
14080381,6G01,01,6,G
14080382,7G01,01,7,G
14080011,4M31,01,4,M
15070087,4M32,01,4,M
14100038,4L03,01,4,L
14100039,4L01,01,4,L
14100041,4L06,01,4,L
14100047,4L02,01,4,L
14100050,1L50,01,1,L
14110141,4C01,01,4,CR
15090050,4M33,01,4,M
15010044,0D01,01,0,
15010076,4L04,01,4,L
15010086,F1L04,01,F1,L
15040469,4M35,01,4,M
15040473,4M36,01,4,M
15080144,4M37,01,4,M
15060002,5M01,01,5,M
15060006,5M02,01,5,M
15060001,5M03,01,5,M
15080151,5M05,01,5,M
14070152,5M06,01,5,M
14070157,5M07,01,5,M
14080383,5M08,01,5,M
14070154,5M09,01,5,M
15090052,5M10,01,5,M
16030489,5M11,01,5,M
14060065,5M12,01,5,M
21060278,5M14,01,5,M
16080145,5M20,01,5,M
16080146,5M21,01,5,M
16080147,5M22,01,5,M
14060387,5M23,01,5,M
14060388,5M24,01,5,M
14070162,5M25,01,5,M
16080143,5M26,01,5,M
15070139,5M27,01,5,M
16010191,5M31,01,5,M
18060588,5M40,01,5,M
18060587,5M41,01,5,M
15120100,5M51,01,5,M
15120095,5M53,01,5,M
15070079,6M01,01,6,M
15070086,6M03,01,6,M
15020158,6M04,01,6,M
15020095,6M05,01,6,M
15020098,6M06,01,6,M
15020096,6M07,01,6,M
15030033,5W01,01,5,W
15030036,5W02,01,5,W
15030038,5W09,01,5,W
15030039,6W07,01,6,W
15030040,7W16,01,7,W
15030041,5W17,01,5,W
15030045,8W01,01,8,W
15030046,8W02,01,8,W
15030047,8W03,01,8,W
15030048,8W04,01,8,W
15030049,8W05,01,8,W
15030050,8W06,01,8,W
15030066,4IS01,01,4,W
15030215,F1IS04,01,F1,W
15020091,6M08,01,6,M
15020093,6M09,01,6,M
15110326,6M10,01,6,M
15020094,6M11,01,6,M
15120102,6M12,01,6,M
16080149,6M20,01,6,M
16080152,6M21,01,6,M
16090752,6M22,01,6,M
15020104,6M24,01,6,M
15050111,0C01,01,0,CR
15050112,OPA2,01,0,CR
15020102,6M25,01,6,M
15020097,6M29,01,6,M
15020090,6M30,01,6,M
15020109,6M41,01,6,M
15020128,7M04,01,7,M
15020115,7M05,01,7,M
15020121,7M06,01,7,M
15020116,7M07,01,7,M
15020111,7M08,01,7,M
15020105,7M09,01,7,M
15120093,7M10,01,7,M
15120099,7M11,01,7,M
15120101,7M12,01,7,M
16080148,7M20,01,7,M
16080151,7M21,01,7,M
16090751,7M22,01,7,M
16090754,7M23,01,7,M
15020130,7M24,01,7,M
15020123,7M25,01,7,M
15020126,7M26,01,7,M
15020124,7M27,01,7,M
15020125,7M28,01,7,M
15020119,7M29,01,7,M
15020113,7M30,01,7,M
18080164,7M45,01,7,M
18080163,7M46,01,7,M
15070155,1WP05,01,1,WP
15080033,8M01,01,8,M
15080044,8M02,01,8,M
15080016,8M03,01,8,M
15080014,8M04,01,8,M
15080019,8M05,01,8,M
15080023,8M06,01,8,M
15080057,8M07,01,8,M
14060063,8M08,01,8,M
14060064,8M09,01,8,M
15020107,8M10,01,8,M
15080001,8M11,01,8,M
15080002,8M12,01,8,M
15080003,8M13,01,8,M
15080008,8M14,01,8,M
15080009,8M15,01,8,M
15080010,8M16,01,8,M
15080005,8M17,01,8,M
15080006,8M18,01,8,M
15080007,8M19,01,8,M
18060585,8M20,01,8,M
18080185,8M21,01,8,M
18080173,8M24,01,8,M
18080174,8M25,01,8,M
18080186,8M26,01,8,M
18080187,8M27,01,8,M
18060589,8M30,01,8,M
18080188,8M31,01,8,M
18080178,8M34,01,8,M
18080192,8M35,01,8,M
18080177,8M36,01,8,M
18080181,8M37,01,8,M
18080191,8M38,01,8,M
18060586,8M64,01,8,M
18060587,8M65,01,8,M
15080053,9M01,01,9,M
15080028,9M02,01,9,M
15080200,4WP06,01,4,WP
18020303,9M03,01,9,M
18020304,9M04,01,9,M
18020305,9M05,01,9,M
18020306,9M06,01,9,M
18020307,9M07,01,9,M
18020308,9M08,01,9,M
18020309,9M09,01,9,M
18020310,9M10,01,9,M
18020313,9M11,01,9,M
15090202,4G01,01,4,G
15090203,4G02,01,4,G
18020312,9M12,01,9,M
18020315,9M13,01,9,M
18020314,9M14,01,9,M
15100086,0D02,01,0,
15110006,6W05,01,6,W
15110009,6W06,01,6,W
15110011,5W16,01,5,W
15110064,1BS02,01,1,BS
18020415,9M15,01,9,M
18020316,9M16,01,9,M
15120091,4BD01,01,4,BD
18020317,9M17,01,9,M
18020318,9M18,01,9,M
15080024,9M23,01,9,M
15080037,9M24,01,9,M
15080034,9M25,01,9,M
18020419,9M26,01,9,M
18020426,9M27,01,9,M
18020425,9M28,01,9,M
18020427,9M29,01,9,M
18020408,9M30,01,9,M
18020410,9M31,01,9,M
18020430,9M32,01,9,M
18020420,9M33,01,9,M
18020414,9M34,01,9,M
18020421,9M35,01,9,M
18020412,9M36,01,9,M
18020423,9M37,01,9,M
15120414,4BS02,01,4,BS
15120416,7L04,01,7,L
15120419,0L05,01,0,L
18020422,9M38,01,9,M
18020424,9M39,01,9,M
18020418,9M40,01,9,M
15080038,9M47,01,9,M
15080025,9M48,01,9,M
16020002,4L00,01,4,L
16020081,0L04,01,0,L
15080055,9M51,01,9,M
15080056,AM01,01,A,M
15080039,AM02,01,A,M
18120128,E3001,,,M
21010298,E3002,,,M
21010300,E3003,,,M
20070076,ELBA02,,,M
19110805,ELBA03,,,M
17010247,4BS03,01,4,BS
17010248,4BS01,01,4,BS
17010249,4BS04,01,4,BS
17010265,F6W02,01,F6,W
17010266,3W02,01,3,W
17010272,8W11,01,8,W
17010273,8W10,01,8,W
17010278,3W06,01,3,W
17010284,3W07,01,3,W
17010294,3W05,01,3,W
17030005,5L04,01,5,L
17030007,5L02,01,5,L
17030009,5L03,01,5,L
17030203,8W12,01,8,W
17030207,3W01,01,3,W
17030208,8W07,01,8,W
17030209,8W08,01,8,W
20060444,F1M04,01,F1,M
15120392,F1M31,01,F1,M
15120396,F1M36,01,F1,M
15120401,F1M37,01,F1,M
20110800,F1M38,01,F1,M
20110799,F1M39,01,F1,M
13070018,4M01,01,4,M
19110172,F3M02,01,F3,M
19110139,F3M08,01,F3,M
19110060,F3M17,01,F3,M
21030110,F3M18,01,F3,M
19090300,F3M21,01,F3,M
19090303,F3M22,01,F3,M
18040330,8L02,01,8,L
18040331,7L06,01,7,L
18040333,6L06,01,6,L
18040336,8L03,01,8,L
18040339,7L02,01,7,L
18040340,8L04,01,8,L
18040341,7L05,01,7,L
18040342,7L08,01,7,L
18040343,6L08,01,6,L
18040344,6L02,01,6,L
18040345,7L07,01,7,L
18040348,8L09,01,8,L
18040349,6L05,01,6,L
18040352,6L07,01,6,L
18040353,8L12,01,8,L
18040354,6L04,01,6,L
18040355,7L01,01,7,L
18040356,8L05,01,8,L
18040358,8L10,01,8,L
18040359,8L07,01,8,L
18040359,6L01,01,6,L
18050440,7BS05,01,7,BS
18050461,8BS01,01,8,BS
18050462,8BS07,01,8,BS
18050463,8BS04,01,8,BS
18050470,8BS09,01,8,BS
18050489,8BS05,01,8,BS
18050491,8BS02,01,8,BS
18050492,8BS03,01,8,BS
19090304,F3M23,01,F3,M
20020258,F3M24,01,F3,M
18060583,3L01,01,3,L
20020259,F3M25,01,F3,M
20030408,F3M26,01,F3,M
20030409,F3M27,01,F3,M
19090307,F3M28,01,F3,M
19090309,F3M29,01,F3,M
20020252,F3M30,01,F3,M
18061153,0L06,01,0,L
18061275,8L06,01,8,L
18061276,8L01,01,8,L
18061278,F6L02,01,F6,L
18061532,8BS06,01,8,BS
20020257,F3M31,01,F3,M
21060005,F3M32,01,F3,M
19090315,F3M33,01,F3,M
19090317,F3M34,01,F3,M
19110050,F3M35,01,F3,M
19110058,F3M36,01,F3,M
19090308,F3M38,01,F3,M
19090323,F3M39,01,F3,M
19090305,F3M40,01,F3,M
19090328,F3M41,01,F3,M
19090326,F3M42,01,F3,M
21030099,F3M43,01,F3,M
19110284,F3M48,01,F3,M
19110052,F3M49,01,F3,M
21050038,F3M52,01,F3,M
16060117,F3M55,01,F3,M
19080440,F4M01,01,F4,M
19080418,F4M02,01,F4,M
19080419,F4M03,01,F4,M
19080426,F4M04,01,F4,M
18100868,OPA4,01,2,CR
18100872,OPA6,01,8,CR
18100873,OPA7,01,8,CR
19080429,F4M05,01,F4,M
19080431,F4M06,01,F4,M
19080434,F4M07,01,F4,M
19080436,F4M08,01,F4,M
19080438,F4M09,01,F4,M
18120214,F1L02,01,F1,L
18120247,F1L06,01,F1,L
18120263,F1L05,01,F1,L
18120292,F1L03,01,F1,L
18120314,0D03,01,0,
18120318,F1L01,01,F1,L
19080439,F4M10,01,F4,M
19080442,F4M11,01,F4,M
19080443,F4M12,01,F4,M
19010011,F1IS02,01,F1,IS
19010012,F1IS01,01,F1,IS
19010013,F1IS03,01,F1,IS
19020003,F6W03,01,F6,W
19020118,8BS10,01,8,BS
19020120,8BS11,01,8,BS
19020213,4C03,01,4,CR
19080444,F4M13,01,F4,M
19040228,F1BS02,01,F1,BS
19080445,F4M14,01,F4,M
19040523,3L02,01,3,L
19080258,6C01,01,6,CR
16080181,F6M13,01,F6,M
19080417,F4F01,01,F4,F
19080420,F4F02,01,F4,F
19080421,F4L03,01,F4,L
19080422,F4P01,01,F4,P
19080423,F4BS04,01,F4,BS
19080424,F4BS03,01,F4,BS
19080425,F3BS02,01,F3,BS
19080427,F4P03,01,F4,P
19080428,F4L04,01,F4,L
19080430,F4P04,01,F4,P
19080432,F4L02,01,F4,L
19080433,F4PR02,01,F4,PR
19080435,F3BS01,01,F3,BS
19080437,F4L01,01,F4,L
19080441,F4P02,01,F4,P
19080446,F4PR01,01,F4,PR
19090092,F4C01,01,F4,CR
19090093,F4C04,01,F4,CR
19090094,F4C02,01,F4,CR
19090095,F4C05,01,F4,CR
19090099,F4C08,01,F4,CR
19090101,F4C07,01,F4,CR
19090113,F3WP02,01,F3,WP
19090116,F3WP01,01,F3,WP
19090429,F1BS01,01,F1,BS
19090477,F3P01,01,F3,P
19110067,F3C04,01,F3,CR
19110072,F3C03,01,F3,CR
19110073,F3C05,01,F3,CR
19110076,F3C01,01,F3,CR
19110077,F3C02,01,F3,CR
18090353,ISO01,,,M
18090339,ISO02,,,M
19020523,ISO03,,,M
19110807,ISO04,,,M
19080015,ISO05,,,M
19080014,ISO06,,,M
19080017,ISO07,,,M
20030231,0WP03,,0,WP
20030234,1WP51,01,1,WP
21080172,ISO08,,,M
20070598,ISO09,,,M
20070074,ISO10,,,M
19110808,ISO11,,,M
20070075,ISO12,,,M
20050062,0C01,01,0,CR
20050064,0C02,01,0,CR
20050067,1C03,01,1,CR
20110797,F5BS02,01,F5,BS
20110798,F5BS01,01,F5,BS
20120097,5W06,01,5,W
20120111,6W12,01,6,W
20120116,5W07,01,5,W
20120291,0C03,01,0,CR
21030071,F3M51,01,F3,M
21030252,4IS03,01,4,IS
21050270,3W01,01,3,W
15080041,3M18,01,3,M
15080042,3M19,01,3,M
21110480,1TP50,01,1,P
15080043,3M20,01,3,M
15080048,3M21,01,3,M
15080004,8M66,01,8,M
15080011,8M67,01,8,M
14030002,4M02,01,4,M
15080017,8M68,01,8,M
15080018,8M69,01,8,M
15080020,8M70,01,8,M
15080021,8M71,01,8,M
15080022,8M72,01,8,M
15080026,9M52,01,9,M
15080058,9M53,01,9,M
15080059,9M54,01,9,M
