orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,import,systemGuid
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, p-pol",19110254,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, p-pol",19110255,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, p-pol",19110256,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg, CV 3.000mm",19110257,Altechna,M0073386,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 45deg, s-pol",19110258,Altechna,M0073388,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 45deg, s-pol",19110262,Altechna,M0073388,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 45deg, s-pol",19110263,Altechna,M0073388,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110264,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110265,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110266,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110267,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110268,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110269,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110270,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110271,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110272,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110273,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110274,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110275,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110276,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 45deg, s-pol",19110277,Altechna,M0073381,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" ULE Mirrors, 1030nm, 45deg, s-pol",19110278,Altechna,M0073377,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" ULE Mirrors, 1030nm, 45deg, s-pol",19110279,Altechna,M0073377,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" ULE Mirrors, 1030nm, 45deg, s-pol",19110280,Altechna,M0073377,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, 45deg, s-pol",19110281,Altechna,M0073378,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, 45deg, s-pol",19110282,Altechna,M0073378,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, 45deg, s-pol",19110283,Altechna,M0073378,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, 45deg, s-pol",19110284,Altechna,M0073378,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110285,Altechna,M0073389,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110286,Altechna,M0073390,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110287,Altechna,M0073391,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110288,Altechna,M0073392,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110289,Altechna,M0073393,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"3"" FS Mirrors, 1030nm, 0deg",19110290,Altechna,M0073394,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg, CC 10000mm",19110291,Altechna,M0073387,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg, CC 10000mm",19110292,Altechna,M0073387,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg, CV 20000mm",19110293,Altechna,M0073383,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg, CV 20000mm",19110294,Altechna,M0073383,,y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg",19110295,Altechna,M0073382,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg",19110296,Altechna,M0073382,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"2"" FS Mirrors, 1030nm, 0deg",19110297,Altechna,M0073382,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, CV 3000mm",19110298,Altechna,M0073380,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, CV 3000mm",19110299,Altechna,M0073380,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
S19/128E,DL_LL_19559011885.pdf,"1"" FS Mirrors, 1030nm, CV 3000mm",19110300,Altechna,M0073380,,Y,79d9d032-2207-41e6-a0ec-6c72e233c9f2
