eun,orderNumber,name,catalogueNumber,serialNumber,deliveryTime,,
20080342,S21/131E,Leaky fold mirror (uncoated),44cOM0030,20080342,4/21/2023,,
20080337,S21/131E,Leaky fold mirror (uncoated),44cOM0030,20080337,4/25/2023,,
23040001,C23/015,orange CHIRPED PULSES Femtosecond Fiber Laser,,FSYB/0213,4/13/2023,,
23040002,23910212,"Corrugated hose, DN63 ISO-K length 750mm",320SWN063-0750,NA,4/12/2023,,
23040003,23910212,"Reducer Nipple, ISO-K NW 80 to 63, length 50mm",320RRG080-063-50,NA,4/12/2023,,
23040004,23910212,"Reducer Nipple, ISO-K NW 80 to 63, length 50mm",320RRG080-063-50,NA,4/12/2023,,
23040005,23910212,"Reducer Nipple, ISO-K NW 80 to 63, length 50mm",320RRG080-063-50,NA,4/12/2023,,
23040006,C23/027,COOLVAC 5000iSL DN400 ISO-K,844402V0006,31002717729,3/16/2023,,
23040007,C23/027,COOLPAK 5000i,840000V5411,31002674407,3/16/2023,, 
23040008,23910567,Přesný regulátor tlaku,SRP1101-01,,4/13/2023,,
23040009,23910219,průmyslová kamera MANTA G-507B PoE,E0022704,503536917,4/13/2023,,
23040010,23910219,průmyslová kamera MANTA G-507B PoE,E0022704,503536918,4/13/2023,,
23040011,23910219,průmyslová kamera MANTA G-507B PoE,E0022704,503536919,4/13/2023,,
23040012,23910219,průmyslová kamera MANTA G-507B PoE,E0022704,503536920,4/13/2023,,
23040013,23910219,průmyslová kamera MANTA G-507B PoE,E0022704,503536921,4/13/2023,,
23040014,23910609,RAM Samsung 128GB DDR4-2933,210154382,W0G0000041044685A3,4/17/2023,,
23040015,23910609,RAM Samsung 128GB DDR4-2933,210154382,W0G00000410446835D,4/17/2023,,
23040016,23910609,RAM Samsung 128GB DDR4-2933,210154382,W0G00000410446845E,4/17/2023,,
23040017,23910609,RAM Samsung 128GB DDR4-2933,210154382,W0G000004104468369,4/17/2023,,
23040018,23910214,Achromatic waveplate 650-1100nm,WPA-650-1100-50.8-6.0 PAN5778,NA,4/17/2023,,
23040019,23910214,Achromatic waveplate 650-1100nm,WPA-650-1100-50.8-6.0 PAN5778,NA,4/17/2023,,
23040020,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040021,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040022,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040023,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040024,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040025,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040026,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040027,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040028,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040029,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040030,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040031,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040032,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040033,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040034,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040035,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040036,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040037,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040038,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040039,C23/023,Edge welded bellow upper module ,,NA,4/17/2023,,
23040040,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040041,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040042,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040043,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040044,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040045,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040046,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040047,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040048,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040049,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040050,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040051,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040052,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040053,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040054,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040055,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040056,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040057,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040058,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040059,C23/023,Edge welded bellow lower module ,,NA,4/17/2023,,
23040060,23950018,Pyroelectric head,PE50-DIF-C,3087478,4/17/2023,,
23040061,23950018,Ethernet Adapter,EA-1,3090936,4/17/2023,,
23040062,S22/143E,Turbomolecular Pump Edwards STPiXA3306C,YT820Z2020,239253831,4/18/2023,,
23040063,S22/143E,Turbomolecular Pump Edwards STPiXA3306C,YT820Z2020,239253829,4/18/2023,,
23040064,S22/143E,Turbomolecular Pump Edwards STPiXA3306C,YT820Z2020,239253661,4/18/2023,,
23040065,22912241,PressureMeter ,P-502C-M10A-XAD-22-V,M22218282A,4/18/2023,,
23040066,S20/147E,Parabole A,,20R0041,4/18/2023,,
23040067,S20/147E,Parabole B,,20R0042,4/18/2023,,
23040068,S22/143E,Turbomolecular Pump Edwards STPiXA3306C,YT820Z2020,239253994,4/18/2023,,
23040069,23910689,Harmonic beamsplitter,HBSY13,NA,4/19/2023,,
23040070,23910689,Harmonic beamsplitter,HBSY13,NA,4/19/2023,,
23040071,23910689,Aluminium Breadboard 300x1200x12.7mm,MB60120/M,NA,4/19/2023,,
23040072,23910105,BK7 pl/cx d101.6 F-1000 Tc -6 AR/AR770-830 i0,,NA,4/20/2023,,
23040073,23910105,BK7 pl/cx d101.6 F-1000 Tc -6 AR/AR770-830 i0,,NA,4/20/2023,,
23040074,23910292,"UVFS aspheric lens dia.50.8mm, FL-60mm@780nm",,NA,4/20/2023,,
23040075,S22/167E,Deformable mirror,MD30-E35,68,4/21/2023,,
23040076,23910537,Dummy mřížka kompresor L2,,NA,4/28/2023,,
23040077,23910692,Metric Linear Translator with Central SM1 trhu Hole,XYT1/M,NA,4/21/2023,,
23040078,23910692,4x3 Metric Mini Lab Jack,L200/M,NA,4/21/2023,,
23040079,22910671,Vacuum gauge ,974B-22034,974A004718,4/21/2023,,
23040080,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47032786,4/21/2023,,
23040081,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47022263,4/21/2023,,
23040082,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47018821,4/21/2023,,
23040083,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47032789,4/21/2023,,
23040084,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47032788,4/21/2023,,
23040085,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47022256,4/21/2023,,
23040086,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47033430,4/21/2023,,
23040087,23950019,Active Pirani/Cold Cathode Gauge,PT T03 140 010,47019317,4/21/2023,,
23040088,23910136,manual helium valve,SS-6BW-SC11,NA,4/21/2023,,
23040089,23910136,manual helium valve,SS-6BW-SC11,NA,4/21/2023,,
23040090,23910136,manual helium valve,SS-6BW-SC11,NA,4/21/2023,,
23040091,23910136,manual helium valve,SS-6BW-SC11,NA,4/21/2023,,
23040092,23910235,crystal PPKT for SFG1x2x5mm,PK1.0205S120.00DBDBF51,NA,4/21/2023,,
23040093,23910235,Peltier temperature stabilizing oven,PU-0439,NA,4/21/2023,,
23040094,22912537,Infrared viewer,IRV2-1700,NA,4/21/2023,,
23040095,23910689,Aluminium Breadboard 300x1200x12.7mm,MB60120/M,NA,4/24/2023,,
23040096,23910689,Harmonic beamsplitter,HBSY12,NA,4/24/2023,,
23040097,23910689,Harmonic beamsplitter,HBSY12,NA,4/24/2023,,
23040098,23910689,Harmonic beamsplitter,HBSY12,NA,4/24/2023,,
23040099,23920001,Granite lower 1100x500x400mm,VFK-007270,NA,4/25/2023,,
23040100,23920001,Granite lower 1100x500x400mm,VFK-007270,NA,4/25/2023,,
23040101,23910537,Dummy mřížka kompresor L2,,NA,4/28/2023,,
23040102,23910373,"Alpha-BBO Wollaston prism, 10x10mm",NA,NA,4/25/2023,,
23040103,23910373,"Alpha-BBO Wollaston prism, 10x10mm",NA,NA,4/25/2023,,
23040104,23910373,"Alpha-BBO Wollaston prism, 10x10mm",NA,NA,4/25/2023,,
23040105,22912483,"cRIO-9049, 1.6 GHz Quad-Core, 325T FPGA, 8-Slot",785618-01,HE2683660,4/25/2023,,
23040106,22912512,Pendulum Valve DN400 ,16252-PA41,NA,4/25/2023,,
23040107,23920006,Unmounted Glass Lenses FS-SQM-50.0-10.0-HR1040-1080/40-50S,C002156,NA,4/26/2023,,
