orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,import,systemGuid
19910168,1800ff91-70ab-4b4c-a3c0-584452eb3bf8,BSS10,19020110,Thorlabs,BSS10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,1800ff91-70ab-4b4c-a3c0-584452eb3bf8,BSS10,19020111,Thorlabs,BSS10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,1800ff91-70ab-4b4c-a3c0-584452eb3bf8,BSS10,19020108,Thorlabs,BSS10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,1800ff91-70ab-4b4c-a3c0-584452eb3bf8,BSS10,19020109,Thorlabs,BSS10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,1800ff91-70ab-4b4c-a3c0-584452eb3bf8,BSS10,19020107,Thorlabs,BSS10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,f89e11eb-ecfb-407e-89de-644b523b2a6c,"??1"" 90:10 UVFS BS Plate, 400-700nm t=5mm",19020115,Thorlabs,BSN10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19910168,f89e11eb-ecfb-407e-89de-644b523b2a6c,"??1"" 90:10 UVFS BS Plate, 400-700nm t=5mm",19020116,Thorlabs,BSN10,SN: ,y,2e360378-95df-479f-b3b7-a2192c5708a6
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100038,EKSMA,EKSMA-YAG-7x7x130,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100037,EKSMA,EKSMA-YAG-7x7x130,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100035,EKSMA,EKSMA-YAG-7x7x130,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x90,19100036,EKSMA,EKSMA-YAG-7x7x90,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
