orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,qunatity,link,import,Procured for (from DL),systemGuid
19911584,18b6db45-374e-4d4d-b5d9-6a17806521c8,2'' witness samples,20050098,Laseroptik,,,4,order,,, 
19911584,cb8b9112-ec3a-4e34-be50-c00ed67364db,2'' witness samples,20050098,Laseroptik,,,4,order,,, 
19912224,b8dd8fc1-5209-4660-b51b-144264d6f4f5,RÃ¡mcovÃ¡ smlouvat WNT 2019,19100659,,,,1,order,,, 
19912480,d348eb72-b1f9-4ce2-a0a1-fc7de89c39fb,"Prï¾…ï½¯myslovï¾ƒï½¡ kamera, 1920 x1200, 51 fps, 1/2.3"", ï¾„ç¨¿rnobï¾ƒï½­lï¾ƒï½¡, IMX392, C-mount, GigE Vision",19110495,,,,1,order,,, 
19920245,5660d082-39a5-49d5-981c-8e2a58383b72,cubic vacuum chamber The same as 70-0000-0000-00510. Breadbord 450x450,19080004,,,,1,order,,, 
19920289,b64ac3d9-470c-4166-ab43-5e4023edfc32,SPIDER IR,19080239,Optixs,,,1,order,,, 
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100038,EKSMA,EKSMA-YAG-7x7x130,,1,order,y,02)  L2,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100037,EKSMA,EKSMA-YAG-7x7x130,,1,order,y,02)  L2,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x130,19100035,EKSMA,EKSMA-YAG-7x7x130,,1,order,y,02)  L2,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920349,f77095b1-f64c-4f91-9392-193ac37d5ddf,Undoped YAG crystal 7x7x90,19100036,EKSMA,EKSMA-YAG-7x7x90,,1,order,y,02)  L2,ce3d91a4-0690-423f-856c-b6cf75022dc2
19920375,e59a8cbe-8cdd-4ba6-bff3-634c3266e6a9,4H SiC wafers + 2 epitaxial layers ,20020353,LPE S.P.A.,,,1,order,,, 
19920375,e59a8cbe-8cdd-4ba6-bff3-634c3266e6a9,4H SiC wafers + 2 epitaxial layers ,20020355,LPE S.P.A.,,,1,order,,, 
19920375,e59a8cbe-8cdd-4ba6-bff3-634c3266e6a9,4H SiC wafers + 2 epitaxial layers ,20020356,LPE S.P.A.,,,1,order,,, 
19920375,e59a8cbe-8cdd-4ba6-bff3-634c3266e6a9,4H SiC wafers + 2 epitaxial layers ,20020357,LPE S.P.A.,,,1,order,,, 
