eun,isEunInPanda,pandaOrderGUID,isOrderInPanda,pbsFis,pbsVerso,pbsTenderReference,pbsSupplier,pbsNumber,cataloguePartNumber,serialNumber,itemPriceCzk,itemPriceEUR,cartName,description,notes,destination,deliveredDate,TargetsystemGUID,ItemUsage,ItemCondition,ImportInstr,PandaPartNumber
13030001,FALSE,ebbcbdec-cb7e-47ac-a351-8eacc729e34a,TRUE,12920011,NA,MN132/2012,Spectrogon AB,RA1.L1.FE.L1_1.SPAR.RA,,,33924,1320,Gold diffraction grating PC 1740l/mm 64x64x10 NIR Zerodur,,,Borrowed to Pavel Trojek,10/11/2012,ba7ab82c-466d-4200-af10-52f9a7db532a,,,UL,PC 1740 64x64x10 NIR (Zerodur)
13030002,FALSE,ebbcbdec-cb7e-47ac-a351-8eacc729e34a,TRUE,12920011,NA,MN132/2012,Spectrogon AB,RA1.L1.FE.L1_1.BB.PL1.CMP.G2,,,33924,1320,Gold diffraction grating PC 1740l/mm 64x64x10 NIR Zerodur,,,UTIA regen no1 compressor,10/11/2012,063c5417-7c99-45c0-b698-8e00c6a18095,,,UL,PC 1740 64x64x10 NIR (Zerodur)
13030005,FALSE,ebbcbdec-cb7e-47ac-a351-8eacc729e34a,TRUE,12920011,NA,MN132/2012,Spectrogon AB,RA1.L1.FE.L1_1.SPAR.RA,,13488:1,25443,990,Gold diffraction grating PC 1740l/mm 30x64x10 NIR Zerodur,,,,10/11/2012,ba7ab82c-466d-4200-af10-52f9a7db532a,,,UL,PC 1740 30x64x10 NIR (Zerodur)
13030006,FALSE,ebbcbdec-cb7e-47ac-a351-8eacc729e34a,TRUE,12920011,NA,MN132/2012,Spectrogon AB,RA1.L1.FE.CSS.DG.SPM.SPM,,13488:2,25443,990,Gold diffraction grating PC 1740l/mm 30x64x10 NIR Zerodur,,,,10/11/2012,542547e5-c209-473c-969d-990a6af8b977,,,UL,PC 1740 30x64x10 NIR (Zerodur)
12080067,FALSE,c8f3911c-3471-45d5-8338-a712071dbaef,TRUE,12920026,716065,MN160/2012,Thorlabs GmbH,RA1.L1.CSS.SPAR.O,GR25-0610,NA,2282.3928,88.74,"Ruled Diff. Grating, 600/mm, 1 ?m Blaze, 25 x 25 x 6 mm (Thorlbas GR25-0610)",,,UTIA,08/03/2012,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,GR25-0610
12080068,FALSE,c8f3911c-3471-45d5-8338-a712071dbaef,TRUE,12920026,716065,MN160/2012,Thorlabs GmbH,RA1.L1.CSS.SPAR.O,GR25-0610,NA,2282.3928,88.74,"Ruled Diff. Grating, 600/mm, 1 ?m Blaze, 25 x 25 x 6 mm (Thorlbas GR25-0610)",,,UTIA,08/03/2012,9d827a52-3ddb-484d-9ff9-e9e6c5c64794,,,UL,GR25-0610
12080053,FALSE,24af0be6-3fb1-4d4a-8348-bf79d4431402,TRUE,12920039,NA,MN189/2012,Mit,RA1.L1.FE.CSS.DG.PM,7Z0243L26,660974,13545,523.68,Photodiode Power meters PD300,"Photo diode head; 350 - 1100nm (without filter), 430 - 1100nm (with filter) (Si-photodiode); cw power measurement; 500pW - 30mW (without filter), 200µW - 1W (with filter) (max. power wavelength dependent); aperture 10x10mm; accuracy ±3% (400-950nm, without filter); damage threshold 10W/cm2 (without filter), 50W/cm2 (with filter); response time 0.2s; automatic background subtraction; incl. attenuation filter; smart head [Ophir / Spiricon]",,"UTIA lab, cupboard n.1",8/20/2012,c92982dc-7a6e-49c0-9703-e180c7b1b367,,,UL,PD300-1W - Z02411A
12080054,FALSE,24af0be6-3fb1-4d4a-8348-bf79d4431402,TRUE,12920039,NA,MN189/2012,Mit,RA1.L1.FE.CSS.DG.PM,7Z02426,631416,15962,617.17,Photodiode Power meters PD300,"Photo diode head; 350 - 1100nm (without filter), 430 - 1100nm (with filter) (Si-photodiode); cw power measurement; 5nW - 100mW (without filter), 200µW - 3W (with filter) (max. power wavelength dependant); aperture 10x10mm; accuracy ±3% (400-950nm, without filter); damage threshold 10W/cm2 (without filter), 100W/cm2 (with filter); max. pulse energy 20µJ (without filter), 500µJ (with filter); response time 0.2s; automatic background subtraction; incl. attenuation filter (100x); smart head [Ophir / Spiricon]",,,8/20/2012,c92982dc-7a6e-49c0-9703-e180c7b1b367,,,UL,PD300-3W (VersionV1) - 7Z02426
13020002,FALSE,3e3938b3-950f-4c4a-891f-10be0db618d6,TRUE,12920080,2.4.1,MN416/2012,Eksma Optics (Optolita UAB),RA1.L1.FE.L1_1.SPAR.RA,,NA,18819.675,735,12x12x1.0mm LBO crystal for SHG 1030->515 nm (EKSMA),"Type 1,theta=90deg, phi=13.6deg,AR@1030+515nm",Reserved for Davorin.,Borrowed to Davorin for auutocorrelator,1/28/2013,ba7ab82c-466d-4200-af10-52f9a7db532a,,,UL,EUN 13020002
13020082,FALSE,a2da2fa7-d234-4a36-be79-97ca12035500,TRUE,12920083,767164,MN454/2012,Eksma optics (OPTOLITA UAB),RA1.L1.FE.L1_1.BB.OPA1.S2.C.C,,NA,18048,705,BBO Crystal 6x6x1.3,,,"somewhere in UTIA lab, empty box in crystal drawer",2/19/2013,a9105b9f-ceb9-4865-858e-5a77118ebd0c,,,UL,EUN 13020082
