ShortName,CIN,Address,SateCode,VAT,Name
VEOLIA KOMODITY,25846159,OSTRAVA,CZE,CZ25846159,"Veolia Komodity ČR, s.r.o."
PREZI,,San Francisco,USA,,PREZI
BOOKING.COM B.V.,,CE Malden,NLD,,BOOKING.COM B.V.
FARNELL UK LIMITED,,Leeds,GBR,DE284299742,Farnell UK Limited
SPARKHAUS MEDIA,,Munich,DEU,DE297177478,Sparkhaus Media
UAB OLIZARU RUMAI,,VILNIUS,LTU,LT249940610,UAB OLIZARU RUMAI
MICROWORLD,,Le Fontanil,FRA,FR48381001171,Microworld
NEYCO S.A. VACUUM&MA,,VANVES,FRA,FR29542032255,NEYCO s.a. VACUUM&MATERIALS
SAFRAN REOSC,,ST PIERRE NEMOURS,FRA,FR54492019419,Safran Reosc
ULTRAFAST OPTICS XII,,BARILOCHE,ARG,,Ultrafast Optics XIII 2023
ADDEV MAERIALS SP. Z,,ZYCHLIN,POL,PL6511599685,ADDEV MAERIALS SP. Z.O.O.
WIZZ AIR COM,,Budapest,HUN,,WIZZ AIR COM
MISUMI EUROPA GMBH,,FRANKFURT/main,DEU,DE227644836,Misumi Europa GmbH
OSIRIS  VIAGENS E TU,,Lisboa,PRT,,OSIRIS  VIAGENS E TURISMO LDA
VERT COM,,ST ROCH,FRA,,Vert Com
MITOS S.A.,,IRAKLIO,GRC,,MITOS S.A.
CNRS,06905A0011,YVETTE,FRA,FR40180089013,CNRS LPGP
IAP,,Berlin,DEU,DE219481619,Institut für angewandte Photonik e.V.
THE OFFICE SRL,,TRIESTE,ITA,IT00636740326,THE OFFICE SRL
THORLABS GMBH,,BERGKIRCHEN,DEU,DE129442088,THORLABS GmbH
KATARZYNA BATANI,,BORDEAUX,FRA,,KATARZYNA BATANI
"OPTIXS, S.R.O.",2016770,PRAHA 9,CZE,CZ02016770,"OptiXs, s.r.o."
UAB ADOS - TECH,,VILNIUS,LTU,LT100010724413,UAB ADOS - TECH
ART HOTEL PLUSZ KFT,,SZEGED,HUN,HU24199544,ART HOTEL PLUSZ KFT
ATLANTIC ULTRAVIOLET,,New York,USA,,ATLANTIC ULTRAVIOLET CORPORATION
LASER COMPONENTS GER,,OLCHING,DEU,DE344314968,LASER COMPONENTS GERMANY GMBH
SOFTWAREONE CZECH RE,24207519,PRAHA 4,CZE,CZ24207519,SoftwareONE Czech Republic s.r.o.
SPIE EVENTS EUROPE L,,"CARDIFF, UK",GBR,GB840296332,SPIE Events Europe Ltd.
CASCADE LASER CORP.,,Newberg,USA,,CASCADE LASER CORP.
EBSA OFFICE,,Gentbrugge,BEL,,EBSA OFFICE
DALNICNI ZNAMKA SLOV,,ZUTPHEN,NLD,NL855106803B01,DALNICNI ZNAMKA SLOVENSKO
TECHNIKER KRANKENKAS,,Hamburg,DEU,,TECHNIKER KRANKENKASSE
AUTOVIGNET KFT,,NAGYKOVACSI,HUN,HU27116861,AUTOVIGNET KFT
ABACOM GBR,,GANDERKESEE,DEU,DE151962747,ABACOM GBR
SOLARWINDS,,CORK,IRL,IE9652586C,SOLARWINDS SOFTWARE EUROPE LTD
